listing_id,neighborhood_impact_score,hotel_keywords_found,human_keywords_found
1118025031111559711,0,1,3
1118062308734308558,0,2,2
1119460009921087760,0,1,1
1119545786432390809,0,1,1
1119550027744160141,0,0,0
1119586650258660931,0,0,0
1120198739494310162,0,0,0
1120692004673469197,0,0,0
1120769377576048338,0,1,3
1120865972355379331,0,0,2
1121585470556387414,0,0,0
1121664952513599811,0,1,1
1123095910090653219,0,0,0
1123950426567611637,1,1,0
1124351772934748550,0,0,1
1125172666486991670,0,0,0
1125449557335870221,-1,0,4
11254840,0,0,2
1125746761097858386,1,1,0
1125898761574484656,0,0,0
1126149052379174860,0,0,1
1126161089070977826,1,1,0
1126532433561641127,0,1,1
1126770311051486184,0,0,2
1127207662222801337,0,0,0
1127475237475836434,0,1,1
1127481327634328143,0,0,2
1127619609640069136,0,0,1
1128151682985949663,0,0,0
1128244108620344695,0,0,1
1128924217510442058,0,0,2
1129704558501435861,0,0,0
1130189141400626890,0,1,1
1130927493300849764,0,0,0
1130956413774201019,0,0,2
1131088362441548140,0,1,3
1131620483526696008,0,0,2
1131814488318247491,0,1,2
1132034926248196706,0,2,4
1133344561518961817,0,0,1
1133795842696211873,0,0,0
1135308044894784306,0,0,0
1135349646534620169,0,0,0
1135471302001139354,0,0,0
1135665374992997108,0,0,1
1136856561776309880,0,1,1
1136907998957621307,0,0,1
1137031331396615270,0,1,2
1137387630058581204,0,0,0
1137594812690933079,0,0,1
1138287790681859779,0,1,2
1138345540791163140,0,0,0
1139017851781132069,0,0,0
1139957954077782663,0,1,3
1140436335604239660,0,1,3
1140491550462551448,0,1,1
1140505693331561483,0,1,2
1140691789039361635,0,0,0
1143375177749897595,1,2,0
1143563587505399674,0,0,0
11436236,0,4,4
1144609491529881952,0,0,1
1144968261141449825,0,0,0
11450917,-1,1,7
1145415440485925249,0,0,1
1146313933295610241,0,0,0
1146997677041302388,0,0,0
1148435015373152526,0,0,1
1148440771106012592,0,0,0
1148530354727857964,0,0,1
1149971287291701224,0,0,0
1150631933694395198,-1,0,5
1151206283158892677,0,1,1
1151237913467794090,0,0,2
1151284043443696823,0,1,1
1151435414598907417,0,1,1
1152076580762607477,0,0,0
1152959197091737215,0,0,2
1155103050707464827,0,0,1
1155578138945172659,0,0,0
1155859466746324272,0,0,0
11559006,0,1,3
1156060632291267308,0,2,3
1156424874708107231,0,0,1
1157018807151931980,0,0,1
1157079249896093924,0,0,0
1158577217331591846,0,0,1
1160712421735239517,0,2,2
1160725601494020996,0,0,0
1160945559615574630,0,1,1
1162136640160279859,0,0,0
1162235539024725621,0,0,0
1162891698990380245,0,0,0
1163017694662677286,0,1,1
1163620116058183888,0,1,2
1163697493672230003,0,0,0
1163702350453626107,0,2,2
1164388235602237991,0,0,0
1164634866477506439,0,0,1
1165133228486098545,0,0,2
1165665896150567421,0,0,0
1165713538326293615,0,4,4
1165741237983746321,0,2,4
1165759660129286294,1,2,0
1165786603867152545,0,0,2
1165798874958077815,-1,0,5
1165852862200967528,0,0,0
1166755481842382247,0,2,4
1167189886654798811,0,0,0
1167921812333877628,0,0,0
1167937584187114237,0,0,2
1167982156923650275,0,0,0
1168080796125850038,1,1,0
1168180182008035137,0,0,0
1168783608070761764,0,0,0
1168802372258693103,0,0,0
1170020942737924390,0,0,0
1170816620340588157,0,2,2
1170839340982865987,0,1,1
1170885284845639320,0,1,3
1171002149392485455,0,0,0
1171662684889768879,1,1,0
1172361096423383992,1,1,0
1172976315899114854,0,2,2
1173819187863289515,0,0,1
1173841032536111457,-1,0,3
1175280243257887609,0,0,0
1175359567710202754,0,0,0
1176001157521751317,0,0,1
1176710120436779453,0,0,0
1176846794345599200,1,1,0
1178048987511767346,0,0,1
1178770279568780129,0,0,0
1178811454063509683,-1,0,3
1178856318055372831,0,0,0
1179043042825052834,1,2,1
1180390934350314592,0,0,0
1180534124156495651,0,1,2
1180904859707181171,0,0,0
1181125458760261256,0,1,2
1181671862645090551,0,0,0
1181681435918341332,-1,0,3
1181688621566997808,0,0,1
1181723140878430098,0,0,0
1181747062544617670,0,0,0
1181982146617902957,0,0,1
1182007207513517695,0,0,0
1183163835381893863,0,0,0
1183296064264993386,1,1,0
1183978066701548239,0,0,0
1185491268680060422,-1,0,3
1186028522837251221,0,0,2
1186137475241805384,0,1,3
1186149679153389340,0,0,0
1186159460053941651,0,0,2
1186972688607734727,1,2,0
1189012934929898828,0,0,0
1189068918412925112,1,1,0
1189088529078816954,0,0,0
1189097407274425924,0,0,0
11895850,0,0,0
1189966223899208428,-1,0,3
1191206592548883961,0,0,0
1191324350983013220,0,2,4
1191827594571482418,1,1,0
1191837264498920432,0,0,1
1191839455278318860,0,0,0
1191842403091327554,1,1,0
1191865199840927963,0,0,1
1191866151358382448,0,0,0
1191867199358197548,0,0,0
1191868813407079760,0,0,0
1192012180256121308,0,0,2
1192054702179910726,0,0,0
1192253,0,0,1
1192481400982482298,0,0,0
1192662764114359955,0,0,1
1194123410253975883,-1,0,3
1195803737769257878,0,0,1
1196312406886238468,0,0,1
1196413367608379788,-1,1,4
1196511128954583650,0,0,0
1197164144359621856,-1,0,4
1197564683645875740,0,0,1
1197629893014618669,1,2,0
